,x,y,label,DBSCAN,KMeans,BIRCH,SpectralClustering
0,15.55,28.65,2,0,11,19,41
1,14.9,27.55,2,0,11,19,41
2,14.45,28.35,2,0,11,19,41
3,14.15,28.8,2,0,11,19,41
4,13.75,28.05,2,0,11,19,41
5,13.35,28.45,2,0,11,19,41
6,13.0,29.15,2,0,11,19,41
7,13.45,27.5,2,0,11,19,41
8,13.6,26.5,2,0,11,19,41
9,12.8,27.35,2,0,11,19,41
10,12.4,27.85,2,0,11,19,41
11,12.3,28.4,2,0,11,19,41
12,12.2,28.65,2,0,11,19,41
13,13.4,25.1,2,0,11,19,41
14,12.95,25.95,2,0,11,19,41
15,12.9,26.5,2,0,11,19,41
16,11.85,27.0,2,0,11,19,41
17,11.35,28.0,2,0,11,19,41
18,11.15,28.7,2,0,11,19,41
19,11.25,27.4,2,0,11,19,41
20,10.75,27.7,2,0,11,19,41
21,10.5,28.35,2,0,11,19,41
22,9.65,28.45,2,0,11,19,41
23,10.25,27.25,2,0,11,19,41
24,10.75,26.55,2,0,11,19,41
25,11.7,26.35,2,0,11,19,41
26,11.6,25.9,2,0,11,19,41
27,11.9,25.05,2,0,11,19,41
28,12.6,24.05,2,0,11,19,41
29,11.9,24.5,2,0,11,19,41
30,11.1,25.2,2,0,11,19,41
31,10.55,25.15,2,0,11,19,41
32,10.05,25.95,2,0,11,19,41
33,9.35,26.6,2,0,11,19,41
34,9.3,27.25,2,0,11,19,41
35,9.2,27.8,2,0,11,19,41
36,7.5,28.25,2,0,11,19,41
37,8.55,27.45,2,0,11,19,41
38,8.5,27.05,2,0,11,19,41
39,8.05,27.2,2,0,11,19,41
40,7.85,26.8,2,0,11,19,41
41,7.3,27.4,2,0,11,19,41
42,6.8,26.85,2,0,11,19,41
43,7.0,26.5,2,0,11,19,41
44,7.55,26.3,2,0,11,19,41
45,8.55,26.3,2,0,11,19,41
46,9.0,25.85,2,0,11,19,41
47,8.6,25.65,2,0,11,19,41
48,9.4,25.55,2,0,11,19,41
49,8.45,25.05,2,0,11,19,41
50,8.85,24.6,2,0,11,19,41
51,9.65,24.7,2,0,11,19,41
52,10.55,24.35,2,0,11,19,41
53,11.05,23.9,2,0,11,19,41
54,10.55,23.55,2,0,11,19,41
55,9.45,23.35,2,0,11,19,41
56,9.2,23.9,2,0,11,19,41
57,8.35,23.9,2,0,11,19,41
58,7.35,24.75,2,0,11,19,41
59,7.4,25.45,2,0,11,19,41
60,6.6,25.75,2,0,11,19,41
61,6.1,26.0,2,0,11,19,41
62,5.8,26.95,2,0,11,19,41
63,5.65,25.8,2,0,11,19,41
64,5.3,26.1,2,0,11,19,41
65,6.4,25.4,2,0,11,19,41
66,5.4,25.25,2,0,11,19,41
67,5.35,24.7,2,0,11,19,41
68,4.8,25.05,2,0,11,19,41
69,4.2,25.55,2,0,11,19,41
70,6.4,24.8,2,0,11,19,41
71,6.55,24.3,2,0,11,19,41
72,7.4,24.25,2,0,11,19,41
73,5.45,24.2,2,0,11,19,41
74,4.3,24.0,2,0,11,19,41
75,4.0,24.25,2,0,11,19,41
76,3.35,23.3,2,0,11,19,41
77,4.85,23.05,2,0,11,19,41
78,4.3,22.75,2,0,11,19,41
79,5.85,23.4,2,0,11,19,41
80,5.9,23.55,2,0,11,19,41
81,7.55,23.7,2,0,11,19,41
82,6.85,23.25,2,0,11,19,41
83,7.65,23.1,2,0,11,19,41
84,6.95,22.55,2,0,6,19,41
85,6.1,22.6,2,0,6,19,41
86,5.5,22.6,2,0,6,19,41
87,4.7,22.1,2,0,6,19,41
88,3.8,21.85,2,0,6,19,41
89,4.65,21.2,2,0,6,19,41
90,4.15,20.35,2,0,6,19,41
91,5.3,20.4,2,0,6,19,41
92,5.6,20.75,2,0,6,19,41
93,5.8,21.95,2,0,6,19,41
94,6.4,21.95,2,0,6,19,41
95,6.55,21.15,2,0,6,19,41
96,7.45,21.95,2,0,6,19,41
97,7.4,21.55,2,0,6,19,41
98,7.75,21.2,2,0,6,19,41
99,7.65,20.65,2,0,6,19,41
100,6.95,19.8,2,0,6,19,41
101,6.6,20.1,2,0,6,19,41
102,6.05,20.2,2,0,6,19,41
103,5.4,19.65,2,0,6,19,41
104,5.35,19.05,2,0,6,19,41
105,5.8,18.25,2,0,6,19,41
106,6.3,19.1,2,0,6,19,41
107,7.0,18.9,2,0,6,19,41
108,7.15,17.9,2,0,6,19,41
109,7.35,18.2,2,0,6,19,41
110,8.2,20.05,2,0,6,19,41
111,8.3,19.45,2,0,6,19,41
112,8.3,18.5,2,0,6,19,41
113,8.75,18.8,2,0,6,19,41
114,9.05,18.2,2,0,6,19,41
115,9.35,17.7,2,0,6,19,41
116,8.9,17.65,2,0,6,19,41
117,8.45,17.2,2,0,6,19,41
118,10.05,17.2,2,0,6,19,41
119,10.4,16.75,2,0,6,19,41
120,8.6,20.9,2,0,6,19,41
121,8.65,21.3,2,0,6,19,41
122,8.65,21.9,2,0,6,19,41
123,8.65,22.5,2,0,6,19,41
124,8.95,22.8,2,0,6,19,41
125,9.95,22.65,2,0,6,19,41
126,8.95,22.2,2,0,6,19,41
127,9.65,21.9,2,0,6,19,41
128,10.55,22.3,2,0,6,19,41
129,10.9,22.85,2,0,6,19,41
130,11.35,23.45,2,0,11,19,41
131,12.05,23.4,2,0,11,19,41
132,12.3,22.75,2,0,6,19,41
133,11.7,22.15,2,0,6,19,41
134,11.15,22.05,2,0,6,19,41
135,10.85,21.5,2,0,6,19,41
136,10.85,21.05,2,0,6,19,41
137,9.6,21.3,2,0,6,19,41
138,9.85,20.7,2,0,6,19,41
139,9.35,20.6,2,0,6,19,41
140,9.25,19.65,2,0,6,19,41
141,9.95,19.8,2,0,6,19,41
142,10.7,20.35,2,0,6,19,41
143,11.3,20.7,2,0,6,19,41
144,12.35,21.6,2,0,6,19,41
145,13.1,21.3,2,0,6,19,41
146,12.85,20.75,2,0,6,19,41
147,12.0,20.0,2,0,6,19,41
148,11.0,19.85,2,0,6,19,41
149,10.35,19.0,2,0,6,19,41
150,9.9,18.65,2,0,6,19,41
151,10.6,18.15,2,0,6,19,41
152,11.4,18.3,2,0,6,19,41
153,11.4,19.25,2,0,6,19,41
154,12.35,18.8,2,0,6,19,41
155,12.8,19.75,2,0,6,19,41
156,12.15,18.1,2,0,6,19,41
157,11.05,17.5,2,0,6,19,41
158,11.95,17.25,2,0,6,19,41
159,12.25,17.5,2,0,6,19,41
160,13.05,17.4,2,0,6,19,41
161,13.75,18.15,2,0,6,19,41
162,13.5,18.65,2,0,6,19,41
163,13.65,19.25,2,0,6,19,41
164,14.0,19.9,2,0,6,19,41
165,15.2,18.2,2,0,6,19,41
166,15.5,17.15,2,0,6,19,41
167,13.9,17.1,2,0,6,19,41
168,13.75,16.6,2,0,6,19,41
169,12.15,16.4,2,0,6,19,41
170,7.8,13.7,7,1,6,21,44
171,8.85,13.35,7,1,7,21,44
172,9.0,12.7,7,1,7,21,44
173,9.7,12.1,7,1,7,21,44
174,8.05,12.9,7,1,7,21,44
175,7.7,13.25,7,1,7,21,44
176,6.8,13.2,7,1,7,21,44
